0,1,2,3,4,Cash Ball
34,38,40,41,49,4
04,11,14,20,24,4
01,36,45,53,56,1
27,29,39,42,50,3
12,22,27,43,46,3
32,34,47,48,51,3
06,10,16,36,45,2
01,21,24,30,35,1
37,47,52,55,60,3
17,20,24,33,57,4
22,30,33,49,55,1
03,13,19,36,50,2
06,09,34,37,43,4
03,11,23,34,36,2
03,06,08,09,35,4
02,37,43,48,51,3
04,06,21,37,58,1
17,25,33,47,51,4
15,21,27,31,52,4
11,26,39,49,50,2
11,13,32,51,55,1
12,17,18,38,46,2
07,14,20,38,58,1
06,09,45,49,55,4
03,15,18,21,35,2
18,24,42,55,58,3
03,04,34,38,39,2
01,37,39,48,54,4
07,10,21,33,48,2
01,02,39,50,60,4
20,28,50,51,60,3
03,17,33,39,40,4
14,16,26,39,56,4
22,24,26,42,51,3
13,34,36,49,55,3
04,08,27,28,32,4
01,22,23,29,52,2
17,18,42,50,57,1
05,44,45,47,54,3
20,27,34,57,59,2
05,09,25,33,55,2
18,28,39,46,54,2
01,07,36,50,52,4
03,28,31,37,40,2
04,29,30,40,47,4
09,19,21,44,50,1
04,11,18,23,47,2
11,28,41,47,53,3
28,32,35,42,48,4
05,30,40,58,60,4
29,41,48,52,57,4
18,32,35,52,58,2
18,24,41,43,55,4
14,16,28,46,49,4
15,24,36,37,41,2
04,15,44,51,52,2
31,35,42,44,52,4
19,39,40,47,60,4
03,11,32,51,56,2
07,23,25,35,38,4
27,33,34,42,43,4
01,11,19,24,46,1
07,08,16,20,44,3
21,23,31,55,57,4
21,27,46,51,53,4
11,26,30,41,45,1
06,08,26,34,42,3
02,21,31,36,52,1
21,25,34,38,42,2
07,19,22,37,49,1
26,32,47,49,51,2
12,13,26,43,54,3
21,26,42,51,59,1
08,13,19,41,42,4
06,11,13,32,38,3
19,22,24,31,37,1
05,45,50,52,53,1
18,22,30,35,53,1
05,23,26,31,51,3
06,23,27,45,54,1
09,25,28,29,48,1
07,09,17,39,58,4
01,24,26,48,60,1
13,50,53,58,60,3
01,10,14,29,30,1
21,45,48,51,58,1
02,20,33,38,45,4
04,13,25,27,58,4
09,12,20,38,52,1
17,18,45,46,55,1
01,20,28,48,56,4
09,12,16,20,60,1
16,21,28,31,44,4
04,13,24,53,59,1
12,33,37,55,58,4
03,13,16,17,24,3
04,27,28,40,59,2
12,14,24,27,55,4
14,32,33,43,55,4
17,22,38,42,45,4
04,13,30,38,53,3
01,28,42,47,55,4
13,29,31,34,47,1
05,13,35,49,56,2
08,18,22,37,44,1
08,40,41,43,51,2
01,04,06,13,32,2
11,36,41,43,48,4
04,15,19,22,51,2
02,07,11,30,59,3
02,11,14,45,49,3
07,32,33,36,59,3
16,21,22,47,52,3
04,15,28,35,42,2
08,11,15,26,50,3
02,06,14,22,40,1
10,19,29,45,48,4
03,10,21,24,59,1
07,12,21,24,40,2
34,35,36,46,58,1
02,09,23,47,54,3
02,08,15,40,41,4
03,26,30,51,53,4
11,12,31,49,59,1
05,29,35,36,49,4
06,34,36,44,55,4
01,47,52,54,58,2
05,06,07,12,36,2
29,31,40,45,59,3
26,28,38,47,51,1
10,16,23,31,53,2
01,43,44,53,54,1
01,05,17,21,33,4
09,37,47,51,55,4
30,36,39,55,60,1
10,20,21,25,52,1
06,11,14,16,52,1
01,06,24,41,44,2
01,05,10,28,57,3
26,36,42,58,60,1
12,25,31,33,58,4
18,22,23,41,53,1
03,11,44,47,58,3
12,22,42,43,53,3
12,18,20,31,38,4
09,14,24,41,46,2
02,18,34,42,57,3
01,09,25,37,60,1
08,09,12,21,45,1
07,24,32,44,52,3
02,16,30,40,53,3
02,05,39,54,56,3
16,17,46,51,52,1
02,05,18,23,59,1
25,27,42,50,57,1
04,33,56,58,59,4
03,04,22,38,59,3
15,16,19,42,52,3
09,17,21,29,58,3
03,12,30,39,60,1
04,10,22,24,42,2
14,43,55,57,60,4
06,22,23,36,42,2
03,12,17,27,55,2
16,31,34,41,57,4
15,16,39,41,46,2
03,11,32,49,55,4
12,33,41,45,60,2
18,20,38,42,44,4
12,14,31,38,41,2
10,35,38,48,57,4
16,31,34,50,60,3
07,26,53,55,56,3
04,16,18,32,47,2
04,21,26,35,42,2
05,12,13,41,44,4
26,34,42,48,57,1
02,05,07,55,57,3
02,11,20,36,46,1
30,34,36,56,59,1
04,09,20,42,46,2
02,04,32,57,60,3
07,08,12,35,39,4
11,15,21,23,58,3
08,20,31,36,39,2
04,05,28,33,42,4
06,20,25,32,50,2
09,12,19,29,34,2
07,09,47,54,60,3
32,37,38,42,43,2
07,20,21,41,59,1
